legacy_code,occurred_on,amount,currency,direction,category,label,merchant,project,account,account_raw,card,bill_cycle,installments,cleared,cleared_on,created_at,updated_at
90,2012-01-01,-125.0,BRL,expense,OBRIGAÇÕES,SANTANDER,,,,,,,7/6,1,,2023-03-19 19:44:57,
91,2012-01-01,-180.0,BRL,expense,OBRIGAÇÕES,TAXA 20% APOIO EMPREGOS,,,,,,,,1,,2023-03-19 19:44:57,
92,2012-01-01,80.0,BRL,income,RENDIMENTOS,VALE MERCADO,,,,,,,,1,,2023-03-19 19:44:57,
93,2012-01-01,-125.0,BRL,expense,VESTUARIO,ZIROKA,,,,,,,5/1,1,,2023-03-19 19:44:57,
94,2012-01-10,-99.9,BRL,expense,OBRIGAÇÕES,ALBUM FORMATURA,,,,,,,10/3,1,,2023-03-19 19:44:57,
95,2012-01-10,-233.0,BRL,expense,MORADIA,ALUGUEL,,,,,,,,1,,2023-03-19 19:44:57,
96,2012-01-22,-50.0,BRL,expense,VESTUARIO,PRESTAÇÃO LUAGEL,atrazadas,,,,,,,1,,2023-03-19 19:44:57,
97,2012-02-01,85.0,BRL,income,RENDIMENTOS,ALMOÇO LAVEBRAS,,,,,,,,1,,2023-03-19 19:44:57,
98,2012-02-01,1500.0,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
99,2012-02-01,120.0,BRL,income,RENDIMENTOS,MADEIRAS FRANCLEI,,,,,,,,1,,2023-03-19 19:44:57,
100,2012-02-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/6,1,,2023-03-19 19:44:57,
101,2012-02-01,-125.0,BRL,expense,OBRIGAÇÕES,SANTANDER,,,,,,,7/7,1,,2023-03-19 19:44:57,
102,2012-02-01,-125.0,BRL,expense,VESTUARIO,ZIROKA,,,,,,,5/2,1,,2023-03-19 19:44:57,
103,2012-02-02,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
104,2012-02-03,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
105,2012-02-06,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
106,2012-02-06,-25.0,BRL,expense,TRANSPORTE,COMBUSTIVEL,,,,,,,,1,,2023-03-19 19:44:57,
107,2012-02-07,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
108,2012-02-07,812.0,BRL,income,RENDIMENTOS,SALÁRIO,LAVEBRAS,,,,,,,1,,2023-03-19 19:44:57,
109,2012-02-08,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
110,2012-02-08,-4.0,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
111,2012-02-08,-2.5,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
112,2012-02-09,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
113,2012-02-10,-15.0,BRL,expense,MORADIA,AGUA,,,,,,,,1,,2023-03-19 19:44:57,
114,2012-02-10,-99.9,BRL,expense,OBRIGAÇÕES,ALBUM FORMATURA,,,,,,,10/4,1,,2023-03-19 19:44:57,
115,2012-02-10,-96.0,BRL,expense,MORADIA,ALUGUEL,,,,,,,,1,,2023-03-19 19:44:57,
116,2012-02-10,-4.0,BRL,expense,LAZER,BALADA,,,,,,,,1,,2023-03-19 19:44:57,
117,2012-02-10,-20.0,BRL,expense,COMUNICAÇÕES,INTERNET,,,,,,,,1,,2023-03-19 19:44:57,
118,2012-02-10,-25.0,BRL,expense,MORADIA,LUZ,,,,,,,,1,,2023-03-19 19:44:57,
119,2012-02-11,-99.0,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
120,2012-02-12,-12.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
121,2012-02-13,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
122,2012-02-14,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
123,2012-02-15,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
124,2012-02-16,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
125,2012-02-17,-7.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
126,2012-02-17,-12.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
127,2012-02-17,-90.0,BRL,expense,OBRIGAÇÕES,TAXA APOIO EMPREGOS,,,,,,,,1,,2023-03-19 19:44:57,
128,2012-02-19,-27.5,BRL,expense,ALIMENTAÇÃO,LANCHE,ADRI ME DEVE 10> ALESSAND,,,,,,,1,,2023-03-19 19:44:57,
129,2012-02-19,-12.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
130,2012-02-21,-4.6,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
131,2012-02-21,-199.0,BRL,expense,QUALIFICAÇÃO,PÓS GRADUAÇÃO,,,,,,,18/1,1,,2023-03-19 19:44:57,
132,2012-02-22,-50.0,BRL,expense,VESTUARIO,PRESTAÇÃO LUAGEL,atrazadas,,,,,,,1,,2023-03-19 19:44:57,
133,2012-02-24,-8.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
134,2012-02-24,-12.0,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
135,2012-02-24,80.0,BRL,income,RENDIMENTOS,VALE MERCADO,,,,,,,,1,,2023-03-19 19:44:57,
136,2012-03-01,-80.0,BRL,expense,ESPORTE,ACADEMIA,,,,,,,,1,,2023-03-19 19:44:57,
137,2012-03-01,-11.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
138,2012-03-01,110.0,BRL,income,RENDIMENTOS,ALMOÇO LAVEBRAS,,,,,,,,1,,2023-03-19 19:44:57,
139,2012-03-01,1500.0,BRL,income,RENDIMENTOS,EXTREME,,,,,,,,1,,2023-03-19 19:44:57,
140,2012-03-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/7,1,,2023-03-19 19:44:57,
141,2012-03-01,80.0,BRL,income,RENDIMENTOS,VALE MERCADO,,,,,,,,1,,2023-03-19 19:44:57,
142,2012-03-01,-125.0,BRL,expense,VESTUARIO,ZIROKA,,,,,,,5/3,1,,2023-03-19 19:44:57,
143,2012-03-02,-20.0,BRL,expense,TRANSPORTE,COMBUSTIVEL,,,,,,,,1,,2023-03-19 19:44:57,
144,2012-03-02,-12.0,BRL,expense,COMUNICAÇÕES,CREDITO CELULAR,,,,,,,,1,,2023-03-19 19:44:57,
145,2012-03-02,-8.5,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
146,2012-03-03,-12.0,BRL,expense,LAZER,BALADA,,,,,,,,1,,2023-03-19 19:44:57,
147,2012-03-04,-12.5,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
148,2012-03-06,-15.0,BRL,expense,LAZER,ANIVERSARIO EMPRESA,,,,,,,,1,,2023-03-19 19:44:57,
149,2012-03-06,782.0,BRL,income,RENDIMENTOS,SALÁRIO,LAVEBRAS,,,,,,,1,,2023-03-19 19:44:57,
150,2012-03-07,-11.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
151,2012-03-07,-8.75,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
152,2012-03-08,-8.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
153,2012-03-08,-8.0,BRL,expense,LAZER,CINEMA,,,,,,,,1,,2023-03-19 19:44:57,
154,2012-03-08,-199.0,BRL,expense,QUALIFICAÇÃO,PÓS GRADUAÇÃO,,,,,,,18/2,1,,2023-03-19 19:44:57,
155,2012-03-08,-12.0,BRL,expense,CUIDADOS,POMADA CABELO,,,,,,,,1,,2023-03-19 19:44:57,
156,2012-03-09,-8.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
157,2012-03-09,-6.75,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
158,2012-03-10,-99.9,BRL,expense,OBRIGAÇÕES,ALBUM FORMATURA,,,,,,,10/5,1,,2023-03-19 19:44:57,
159,2012-03-10,-150.0,BRL,expense,MORADIA,ALUGUEL,,,,,,,,1,,2023-03-19 19:44:57,
160,2012-03-11,-6.5,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
161,2012-03-12,-19.0,BRL,expense,MORADIA,AGUA,,,,,,,,1,,2023-03-19 19:44:57,
162,2012-03-12,-8.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
163,2012-03-12,-19.9,BRL,expense,ESPORTE,BOMBA,,,,,,,,1,,2023-03-19 19:44:57,
164,2012-03-12,-6.5,BRL,expense,MORADIA,LUZ,,,,,,,,1,,2023-03-19 19:44:57,
165,2012-03-13,-15.0,BRL,expense,COMPRAS,PRESENTE,PRESENTE MORGANA LIMA,,,,,,,1,,2023-03-19 19:44:57,
166,2012-03-14,-11.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
167,2012-03-15,-11.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
168,2012-03-16,-6.75,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
169,2012-03-17,-22.5,BRL,expense,LAR,CORTINA DE BLACK OUT,,,,,,,,1,,2023-03-19 19:44:57,
170,2012-03-17,-20.0,BRL,expense,CUIDADOS,DEPILAÇÃO,,,,,,,,1,,2023-03-19 19:44:57,
171,2012-03-18,-6.75,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
172,2012-03-19,-11.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
173,2012-03-19,-1.7,BRL,expense,LAR,ARGOLAS CORTINA,,,,,,,,1,,2023-03-19 19:44:57,
174,2012-03-20,-20.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
175,2012-03-20,-11.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
176,2012-03-20,-6.9,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
177,2012-03-20,-70.0,BRL,expense,LAR,MESA COMPUTADOR,Mesa arduini,,,,,,,1,,2023-03-19 19:44:57,
178,2012-03-21,-1.5,BRL,expense,CUIDADOS,BUCHA DE BANHO,,,,,,,,1,,2023-03-19 19:44:57,
179,2012-03-21,-0.4,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
180,2012-03-21,-0.25,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
181,2012-03-22,-4.8,BRL,expense,QUALIFICAÇÃO,APOSTILAS,,,,,,,,1,,2023-03-19 19:44:57,
182,2012-03-22,-3.5,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
183,2012-03-22,-50.0,BRL,expense,VESTUARIO,PRESTAÇÃO LUAGEL,atrazadas,,,,,,,1,,2023-03-19 19:44:57,
184,2012-03-23,-12.0,BRL,expense,COMUNICAÇÕES,CREDITO CELULAR,,,,,,,,1,,2023-03-19 19:44:57,
185,2012-03-23,-14.0,BRL,expense,LAZER,FESTA CAÇADOR,,,,,,,,1,,2023-03-19 19:44:57,
186,2012-03-23,-0.65,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
187,2012-03-23,-0.25,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
188,2012-03-25,-6.5,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
189,2012-03-26,-1.1,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
190,2012-03-26,-0.45,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
191,2012-03-27,-0.4,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
192,2012-03-27,-0.3,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
193,2012-03-28,-0.4,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
194,2012-03-29,-7.0,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
195,2012-03-29,-4.5,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
196,2012-03-29,-0.4,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
197,2012-03-29,-0.3,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
198,2012-03-30,-0.4,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
199,2012-03-30,-0.3,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
200,2012-03-30,-6.7,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
201,2012-03-30,-6.5,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
202,2012-04-01,-80.0,BRL,expense,ESPORTE,ACADEMIA,,,,,,,,1,,2023-03-19 19:44:57,
203,2012-04-01,-158.0,BRL,expense,COMPRAS,NOTBOOK,,,,,,,10/8,1,,2023-03-19 19:44:57,
204,2012-04-01,-6.5,BRL,expense,TRANSPORTE,REUNIDAS,,,,,,,,1,,2023-03-19 19:44:57,
205,2012-04-01,80.0,BRL,income,RENDIMENTOS,VALE MERCADO,,,,,,,,1,,2023-03-19 19:44:57,
206,2012-04-01,-125.0,BRL,expense,VESTUARIO,ZIROKA,,,,,,,5/4,1,,2023-03-19 19:44:57,
207,2012-04-02,-8.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
208,2012-04-02,-0.6,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
209,2012-04-02,-0.4,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
210,2012-04-03,-8.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
211,2012-04-03,-0.4,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
212,2012-04-03,-0.3,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
213,2012-04-04,-8.0,BRL,expense,ALIMENTAÇÃO,ALMOÇO,,,,,,,,1,,2023-03-19 19:44:57,
214,2012-04-04,-0.6,BRL,expense,ALIMENTAÇÃO,LANCHE,,,,,,,,1,,2023-03-19 19:44:57,
